iter	Passed	Remaining
610	1350	417
611	1353	415
612	1354	413
613	1357	411
614	1358	408
615	1361	406
616	1362	404
617	1364	401
618	1365	399
619	1367	397
620	1369	394
621	1371	392
622	1373	390
623	1375	388
624	1377	385
625	1381	383
626	1383	381
627	1385	379
628	1387	377
629	1389	374
630	1391	372
631	1393	370
632	1395	368
633	1397	365
634	1399	363
635	1401	361
636	1404	359
637	1405	356
638	1408	354
639	1409	352
640	1412	350
641	1413	347
642	1416	345
643	1417	343
644	1420	341
645	1421	338
646	1423	336
647	1425	334
648	1428	332
649	1430	330
650	1432	327
651	1434	325
652	1436	323
653	1438	321
654	1440	318
655	1443	316
656	1445	314
657	1447	312
658	1450	310
659	1452	308
660	1455	306
661	1459	304
662	1463	302
663	1467	300
664	1470	298
665	1474	296
666	1476	294
667	1478	292
668	1480	289
669	1482	287
670	1484	285
671	1486	283
672	1488	280
673	1490	278
674	1492	276
675	1495	274
676	1496	271
677	1498	269
678	1500	267
679	1502	265
680	1504	262
681	1507	260
682	1510	258
683	1511	256
684	1514	254
685	1516	251
686	1518	249
687	1520	247
688	1523	245
689	1524	243
690	1526	240
691	1528	238
692	1530	236
693	1533	234
694	1535	231
695	1537	229
696	1539	227
697	1541	225
698	1543	222
699	1545	220
700	1547	218
701	1561	218
702	1563	215
703	1565	213
704	1567	211
705	1569	208
706	1571	206
707	1574	204
708	1576	202
709	1578	200
710	1580	197
711	1581	195
712	1583	193
713	1586	191
714	1590	189
715	1592	186
716	1594	184
717	1596	182
718	1598	180
719	1600	177
720	1602	175
721	1605	173
722	1606	171
723	1609	168
724	1610	166
725	1613	164
726	1615	162
727	1617	159
728	1619	157
729	1621	155
730	1623	153
731	1624	150
732	1626	148
733	1628	146
734	1630	144
735	1633	142
736	1635	139
737	1637	137
738	1640	135
739	1641	133
740	1643	130
741	1645	128
742	1648	126
743	1650	124
744	1651	121
745	1653	119
746	1655	117
747	1656	115
748	1658	112
749	1660	110
750	1663	108
751	1664	106
752	1666	104
753	1668	101
754	1671	99
755	1672	97
756	1675	95
757	1677	92
758	1679	90
759	1681	88
760	1683	86
761	1686	84
762	1687	81
763	1690	79
764	1692	77
765	1695	75
766	1697	73
767	1699	70
768	1702	68
769	1704	66
770	1706	64
771	1708	61
772	1712	59
773	1714	57
774	1716	55
775	1718	53
776	1721	50
777	1723	48
778	1725	46
779	1727	44
780	1729	42
781	1731	39
782	1735	37
783	1737	35
784	1739	33
785	1741	31
786	1743	28
787	1745	26
788	1749	24
789	1751	22
790	1753	19
791	1757	17
792	1759	15
793	1762	13
794	1764	11
795	1766	8
796	1768	6
797	1770	4
798	1773	2
799	1776	0
