Mean_Free_Path,Grain_Size_um,Sinter_Temp_C,pred_formation_energy,Binder_MagpieData mode Electronegativity,pred_magnetic_moment,pred_lattice_param,Binder_MagpieData mean NsValence,Composite_MagpieData mean GSmagmom,Binder_MagpieData range MeltingT,Binder_transition metal fraction,lattice_mismatch_wc,KIC_MPa_m,Binder_Vol_Pct
0.072961295,1,1800,0.473639816,1.9,0.190090895,3.646431684,1.896610169,0.017046897,2525.53,0.981355932,0.112726576,6.8,6.8
0.066098011,1,1750,0.605140924,1.9,0.244740129,3.645830631,1.922297297,0.01158651,2525.53,0.986486486,0.112872828,6.5,6.2
0.062699189,1,1800,0.605140924,1.9,0.244740129,3.645830631,1.922297297,0.011025872,2525.53,0.986486486,0.112872828,6.3,5.9
0.064962657,1,1800,0.604868054,1.9,0.264854282,3.645830631,1.941441441,0.008507793,2525.53,0.989489489,0.112872828,6.3,6.1
0.066098011,1,1800,0.644303977,1.9,0.517030656,3.642079353,1.97758406,0.003503211,2525.53,0.99626401,0.113785613,6.6,6.2
0.10497226,1,1800,0.604868054,1.9,0.264854282,3.645830631,1.941458733,0.013321945,2525.53,0.990403071,0.112872828,6.3,9.5
0.10864733,1,2200,0.625735164,1.9,0.487925023,3.644877911,1.987951807,0.003128566,2525.53,0.997740964,0.11310465,6.7,9.8
0.10497226,1,1400,0.604868054,1.9,0.264854282,3.645830631,1.941458733,0.013321945,2525.53,0.990403071,0.112872828,6.7,9.5
0.166860949,1,1400,0.604868054,1.9,0.264854282,3.645830631,1.942038217,0.02004497,2525.53,0.989808917,0.112872828,6.4,14.3
0.205143411,0.4,1200,0.235214427,1.9,0.691013753,3.648108482,1.623762376,0.27497458,1246.53,0.955445545,0.112318566,17.4,33.9
0.20336919,1,1500,0.770208061,1.91,0.444362909,3.631194353,1.820895522,0.135160431,1246.53,0.910447761,0.116434222,8.3,16.9
0.422474506,1,1500,0.771248579,1.91,0.46803987,3.631080389,1.82,0.237833952,1246.53,0.91,0.116461952,12.1,29.7
0.259445517,1,1300,0.410478503,1.91,0.593172431,3.631061316,1.784,0.196397301,1246.53,0.894,0.116466594,7.5,20.6
0.259445517,1,1400,0.410478503,1.91,0.593172431,3.631061316,1.784,0.196397301,1246.53,0.894,0.116466594,7,20.6
0.259445517,1,1450,0.410478503,1.91,0.593172431,3.631061316,1.784,0.196397301,1246.53,0.894,0.116466594,6.9,20.6
0.58227756,1,1300,0.410444409,1.91,0.593172431,3.631061316,1.7845,0.350851773,1246.53,0.894,0.116466594,9.2,36.8
0.58227756,1,1400,0.410444409,1.91,0.593172431,3.631061316,1.7845,0.350851773,1246.53,0.894,0.116466594,9.5,36.8
0.58227756,1,1450,0.410444409,1.91,0.593172431,3.631061316,1.7845,0.350851773,1246.53,0.894,0.116466594,9.9,36.8
0.197604554,1,1410,0.387636036,1.88,2.072032928,3.546212435,1.994005994,0.254719968,452,1,0.137112574,10.1,16.5
0.191894885,1,1410,0.364974588,1.88,1.958570123,3.545265675,1.957068063,0.223466144,661,1,0.137342946,8.2,16.1
0.20336919,1,1410,0.377134711,1.88,1.799963355,3.547605753,1.908998989,0.205542708,661,1,0.136773543,6.4,16.9
0.261033719,1,1410,0.365005493,1.88,2.044113398,3.543872595,1.96031746,0.289857105,661,1,0.137681919,10.8,20.7
0.459853343,1,1410,0.373294652,1.88,1.832054019,3.546111107,1.909502262,0.40071485,661,1,0.13713723,17.8,31.5
0.136363481,1,1475,0.248154476,1.91,0.090576403,3.647286177,1.788674033,0.061287387,1962.53,0.962707182,0.112518655,7,12
0.136363481,1,1450,0.248154476,1.91,0.090576403,3.647286177,1.788674033,0.061287387,1962.53,0.962707182,0.112518655,7.4,12
0.136363481,1,1500,0.248154476,1.91,0.090576403,3.647286177,1.788674033,0.061287387,1962.53,0.962707182,0.112518655,7.2,12
0.136363481,1,1550,0.248154476,1.91,0.090576403,3.647286177,1.788674033,0.061287387,1962.53,0.962707182,0.112518655,7.3,12
0.136363481,1,1550,0.248154476,1.91,0.090576403,3.647286177,1.788674033,0.061287387,1962.53,0.962707182,0.112518655,7.9,12
0.136363481,1,1550,0.248154476,1.91,0.090576403,3.647286177,1.788674033,0.061287387,1962.53,0.962707182,0.112518655,7.3,12
0.152380771,0.8,1500,0.176071271,1.91,0.448611438,3.544007301,1.85,0.103847515,1168,1,0.137649141,9.5,16
0.037812083,0.2,1400,0.342419267,1.88,1.564729333,3.544607639,1.940512821,0.180640492,455,1,0.137503063,9.5,15.9
0.634133206,2.4,1420,0.933569431,1.83,1.520978451,3.55482769,1.84,0.319603227,493,0.985,0.178644249,14,20.9
0.371362158,2.4,1420,0.933569431,1.83,1.520978451,3.55482769,1.84,0.204917129,493,0.985,0.178644249,11,13.4
0.119820694,1,1450,0.410478503,1.91,0.593172431,3.631061316,1.784,0.101948185,1246.53,0.894,0.161030195,11.4,10.7
0.120408027,0.9,1380,0.88056761,1.88,0.698378861,3.540327311,1.8313,0.117612293,452,1,0.181994614,9,11.8
0.111110988,1,1450,0.410478503,1.91,0.593172431,3.631061316,1.784,0.095279417,1246.53,0.894,0.161030195,11.5,10
3.132218462,1,1550,0.771239996,1.91,0.464983255,3.630783796,1.818,0.608172615,1246.53,0.911,0.116534121,10.9,75.8
2.50577477,0.8,1550,0.771239996,1.91,0.464983255,3.630783796,1.818,0.608172615,1246.53,0.911,0.116534121,11.1,75.8
0.097674305,0.6,1600,0.771239996,1.91,0.464983255,3.630783796,1.818,0.112336778,1246.53,0.911,0.161094317,10.8,14
0.100853681,1.5,1550,0.771239996,1.91,0.464983255,3.630783796,1.818,0.050557765,1246.53,0.911,0.161094317,8.7,6.3
