Ratio_MeltingT,Ceramic_MagpieData maximum GSmagmom,Binder_MagpieData minimum SpaceGroupNumber,Binder_MagpieData mean NsUnfilled,Binder_MagpieData maximum NdUnfilled,Binder_MagpieData mean NdValence,Binder_MagpieData mean Electronegativity,Ceramic_MagpieData maximum GSvolume_pa,Binder_Wt_Pct,Ceramic_Ta,Binder_Ti,Sinter_Temp_C,Ceramic_Wt_Pct,Grain_Size_um,"HV, kgf/mm2"
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1450,90,30,1366
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1100,88,30,1803
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1502
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1630
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1480
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1675
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1501,92,10,1400
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,1,1618
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1400,92,1,1424
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,1,1327
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1200,90,1,1845
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1350,85,30,1417
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1400,85,30,1416
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,1,1900
2.126131221,0,194,0,3,7,1.88,16.05,18,0,0,1400,82,1,1450
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,10,1450
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1400,92,10,1250
2.126131221,0,194,0,3,7,1.88,16.05,9,0,0,1400,91,10,1250
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,10,1200
2.126131221,0,194,0,3,7,1.88,16.05,11,0,0,1400,89,10,1150
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1400,85,10,1050
2.126131221,0,194,0,3,7,1.88,16.05,6.5,0,0,1400,93.5,10,1100
